fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.1;0.21;0.4;1.4;0.07;40.5;165;0.99;3.25;0.59;11.9;6
6.7;0.75;0.01;2.4;0.08;17;32;1;3.55;0.61;12.8;6
11.5;0.41;0.52;3;0.08;29;55;1;3.26;0.88;11;5
10.5;0.42;0.66;2.95;0.12;12;29;1;3.24;0.75;11.7;7
11.9;0.43;0.66;3.1;0.11;10;23;1;3.15;0.85;10.4;7
12.6;0.38;0.66;2.6;0.09;10;41;1;3.17;0.68;9.8;6
8.2;0.7;0.23;2;0.1;14;81;1;3.19;0.7;9.4;5
8.6;0.45;0.31;2.6;0.09;21;50;1;3.37;0.91;9.9;6
11.9;0.58;0.66;2.5;0.07;6;37;1;3.05;0.56;10;5
12.5;0.46;0.63;2;0.07;6;15;1;2.99;0.87;10.2;5
12.8;0.62;0.66;5.8;0.08;7;42;1;3.07;0.73;10;7
10;0.42;0.5;3.4;0.11;7;21;1;3.26;0.93;11.8;6
12.8;0.62;0.66;5.8;0.08;7;42;1;3.07;0.73;10;7
10.4;0.58;0.61;2.6;0.08;11;24;1;3.16;0.69;9;5
10.3;0.34;0.52;2.8;0.16;15;75;1;3.18;0.64;9.4;5
9.4;0.27;0.53;2.4;0.07;6;18;1;3.2;1.13;12;7
6.9;0.77;0.02;2.3;0.06;35;63;1;3.57;0.78;9.9;5
7.9;0.24;0.4;1.6;0.06;11;25;1;3.32;0.87;8.7;6
9.1;0.28;0.48;1.8;0.07;26;46;1;3.32;1.04;10.6;6
7.4;0.55;0.22;2.2;0.11;12;72;1;3.05;0.63;9.2;5
14;0.41;0.63;3.8;0.09;6;47;1;3.01;0.81;10.8;6
11.5;0.54;0.71;4.4;0.12;6;15;1;3.01;0.83;11.8;7
11.5;0.45;0.5;3;0.08;19;47;1;3.26;1.11;11;6
9.4;0.27;0.53;2.4;0.07;6;18;1;3.2;1.13;12;7
11.4;0.63;0.66;6.2;0.09;6;24;1;3.11;0.99;13.3;6
8.3;0.42;0.38;2.5;0.09;24;60;1;3.31;0.7;10.8;6
8.3;0.26;0.42;2;0.08;11;27;1;3.21;0.8;9.4;6
13.7;0.42;0.68;2.9;0.09;17;43;1;3.06;0.8;10;6
8.3;0.26;0.42;2;0.08;11;27;1;3.21;0.8;9.4;6
8.3;0.26;0.42;2;0.08;11;27;1;3.21;0.8;9.4;6
7.7;0.51;0.28;2.1;0.09;23;54;1;3.42;0.74;9.2;5
7.4;0.63;0.07;2.4;0.09;11;37;1;3.43;0.76;9.7;6
7.8;0.54;0.26;2;0.09;23;48;1;3.41;0.74;9.2;6
8.3;0.66;0.15;1.9;0.08;17;42;1;3.31;0.54;9.6;6
7.8;0.46;0.26;1.9;0.09;23;53;1;3.43;0.74;9.2;6
9.6;0.38;0.31;2.5;0.1;16;49;1;3.19;0.7;10;7
5.6;0.85;0.05;1.4;0.05;12;88;0.99;3.56;0.82;12.9;8
13.7;0.42;0.68;2.9;0.09;17;43;1;3.06;0.8;10;6
9.5;0.37;0.52;2;0.08;6;26;1;3.18;0.51;9.5;5
8.4;0.67;0.61;2;0.11;13;95;1;3.16;0.54;9.1;5
12.7;0.6;0.65;2.3;0.06;6;25;1;3.03;0.57;9.9;5
12;0.37;0.76;4.2;0.07;7;38;1;3.22;0.6;13;7
6.6;0.74;0.02;7.9;0.12;68;124;1;3.47;0.53;9.9;5
11.5;0.59;0.59;2.6;0.09;13;49;1;3.18;0.65;11;6
11.5;0.59;0.59;2.6;0.09;13;49;1;3.18;0.65;11;6
8.7;0.77;0.22;2.3;0.06;9;42;1;3.1;0.55;9.4;5
6.6;0.74;0.02;7.9;0.12;68;124;1;3.47;0.53;9.9;5
7.7;0.26;0.3;1.7;0.06;20;38;0.99;3.29;0.47;10.8;6
12.2;0.48;0.54;2.6;0.09;19;64;1;3.1;0.61;10.5;6
11.4;0.6;0.49;2.7;0.09;10;41;1;3.15;0.63;10.5;6
7.7;0.69;0.05;2.7;0.08;15;27;1;3.26;0.61;9.1;5
8.7;0.31;0.46;1.4;0.06;11;25;1;3.36;0.76;10.1;6
9.8;0.44;0.47;2.5;0.06;9;28;1;3.24;0.65;10.8;6
12;0.39;0.66;3;0.09;12;30;1;3.18;0.63;10.8;7
10.4;0.34;0.58;3.7;0.17;6;16;1;3.19;0.7;11.3;6
12.5;0.46;0.49;4.5;0.07;26;49;1;3.05;0.57;9.6;4
9;0.43;0.34;2.5;0.08;26;86;1;3.38;0.62;9.5;6
9.1;0.45;0.35;2.4;0.08;23;78;1;3.38;0.62;9.5;5
7.1;0.74;0.16;1.9;0.1;15;77;1;3.27;0.64;9.3;5
9.9;0.4;0.53;6.7;0.1;6;19;1;3.27;0.82;11.7;7
8.8;0.52;0.34;2.7;0.09;24;122;1;3.26;0.61;9.5;5
8.6;0.73;0.24;6.6;0.12;31;134;1;3.32;1.07;9.3;5
10.6;0.48;0.64;2.2;0.11;6;20;1;3.26;0.66;11.7;6
7;0.58;0.12;1.9;0.09;34;124;1;3.44;0.48;10.5;5
11.9;0.38;0.51;2;0.12;7;20;1;3.24;0.76;10.4;6
6.8;0.77;0;1.8;0.07;34;52;1;3.62;0.68;9.9;5
9.5;0.56;0.33;2.4;0.09;35;67;1;3.28;0.73;11.8;7
6.6;0.84;0.03;2.3;0.06;32;48;1;3.52;0.56;12.3;7
7.7;0.96;0.2;2;0.05;15;60;1;3.36;0.44;10.9;5
10.5;0.24;0.47;2.1;0.07;6;24;1;3.15;0.9;11;7
7.7;0.96;0.2;2;0.05;15;60;1;3.36;0.44;10.9;5
6.6;0.84;0.03;2.3;0.06;32;48;1;3.52;0.56;12.3;7
6.4;0.67;0.08;2.1;0.05;19;48;0.99;3.49;0.49;11.4;6
9.5;0.78;0.22;1.9;0.08;6;32;1;3.26;0.56;10.6;6
9.1;0.52;0.33;1.3;0.07;9;30;1;3.24;0.6;9.3;5
12.8;0.84;0.63;2.4;0.09;13;35;1;3.1;0.6;10.4;6
10.5;0.24;0.47;2.1;0.07;6;24;1;3.15;0.9;11;7
7.8;0.55;0.35;2.2;0.07;21;66;1;3.25;0.56;9.2;5
11.9;0.37;0.69;2.3;0.08;12;24;1;3;0.65;12.8;6
12.3;0.39;0.63;2.3;0.09;6;18;1;3.16;0.49;9.5;5
10.4;0.41;0.55;3.2;0.08;22;54;1;3.15;0.89;9.9;6
12.3;0.39;0.63;2.3;0.09;6;18;1;3.16;0.49;9.5;5
8;0.67;0.3;2;0.06;38;62;1;3.26;0.56;10.2;6
11.1;0.45;0.73;3.2;0.07;6;22;1;3.17;0.66;11.2;6
10.4;0.41;0.55;3.2;0.08;22;54;1;3.15;0.89;9.9;6
7;0.62;0.18;1.5;0.06;7;50;1;3.08;0.6;9.3;5
12.6;0.31;0.72;2.2;0.07;6;29;1;2.88;0.82;9.8;8
11.9;0.4;0.65;2.15;0.07;7;27;1;3.06;0.68;11.3;6
15.6;0.69;0.76;3.7;0.1;6;43;1;2.95;0.68;11.2;7
10;0.44;0.49;2.7;0.08;11;19;1;3.23;0.63;11.6;7
5.3;0.57;0.01;1.7;0.05;5;27;0.99;3.57;0.84;12.5;7
9.5;0.74;0.1;2.1;0.08;6;31;1;3.23;0.56;10.1;6
12.5;0.38;0.6;2.6;0.08;31;72;1;3.1;0.73;10.5;5
9.3;0.48;0.29;2.1;0.13;6;16;1;3.22;0.72;11.2;5
8.6;0.53;0.22;2;0.1;7;27;1;3.2;0.56;10.2;6
11.9;0.39;0.69;2.8;0.1;17;35;1;3.1;0.61;10.8;6
11.9;0.39;0.69;2.8;0.1;17;35;1;3.1;0.61;10.8;6
8.4;0.37;0.53;1.8;0.41;9;26;1;3.06;1.06;9.1;6
6.8;0.56;0.03;1.7;0.08;18;35;1;3.44;0.63;10;6
10.4;0.33;0.63;2.8;0.08;5;22;1;3.26;0.74;11.2;7
7;0.23;0.4;1.6;0.06;21;67;1;3.5;0.63;11.1;5
11.3;0.62;0.67;5.2;0.09;6;19;1;3.22;0.69;13.4;8
8.9;0.59;0.39;2.3;0.1;5;22;1;3.37;0.58;10.3;5
9.2;0.63;0.21;2.7;0.1;29;65;1;3.28;0.58;9.6;5
10.4;0.33;0.63;2.8;0.08;5;22;1;3.26;0.74;11.2;7
11.6;0.58;0.66;2.2;0.07;10;47;1;3.25;0.57;9;3
9.2;0.43;0.52;2.3;0.08;14;23;1;3.35;0.61;11.3;6
8.3;0.62;0.22;2.6;0.09;6;19;1;3.26;0.61;9.3;5
11;0.26;0.68;2.55;0.09;10;25;1;3.18;0.61;11.8;5
8.1;0.66;0.7;2.2;0.1;25;129;1;3.08;0.53;9;5
11.5;0.32;0.54;2.1;0.08;5;15;1;2.98;0.7;9.2;6
10;0.29;0.4;2.9;0.1;10;26;1;3.48;0.91;9.7;5
10.3;0.5;0.42;2;0.07;21;51;1;3.16;0.72;11.5;6
8.8;0.46;0.45;2.6;0.07;7;18;0.99;3.32;0.79;14;6
11.4;0.36;0.69;2.1;0.09;6;21;1;3.17;0.62;9.2;6
8.7;0.82;0.02;1.2;0.07;36;48;1;3.2;0.58;9.8;5
13;0.32;0.65;2.6;0.09;15;47;1;3.05;0.61;10.6;5
9.6;0.54;0.42;2.4;0.08;25;52;1;3.2;0.71;11.4;6
12.5;0.37;0.55;2.6;0.08;25;68;1;3.15;0.82;10.4;6
9.9;0.35;0.55;2.1;0.06;5;14;1;3.26;0.79;10.6;5
10.5;0.28;0.51;1.7;0.08;10;24;1;3.2;0.89;9.4;6
9.6;0.68;0.24;2.2;0.09;5;28;1;3.14;0.6;10.2;5
9.3;0.27;0.41;2;0.09;6;16;1;3.28;0.7;9.7;5
10.4;0.24;0.49;1.8;0.08;6;20;1;3.18;1.06;11;6
9.6;0.68;0.24;2.2;0.09;5;28;1;3.14;0.6;10.2;5
9.4;0.69;0.11;2.7;0.08;6;31;1;3.19;0.7;10.1;6
10.6;0.28;0.39;15.5;0.07;6;23;1;3.12;0.66;9.2;5
9.4;0.3;0.56;2.8;0.08;6;17;1;3.15;0.92;11.7;8
10.6;0.36;0.59;2.2;0.15;6;18;1;3.04;1.05;9.4;5
10.6;0.36;0.6;2.2;0.15;7;18;1;3.04;1.06;9.4;5
10.6;0.44;0.68;4.1;0.11;6;24;1;3.06;0.66;13.4;6
10.2;0.67;0.39;1.9;0.05;6;17;1;3.17;0.47;10;5
10.2;0.67;0.39;1.9;0.05;6;17;1;3.17;0.47;10;5
10.2;0.65;0.36;1.8;0.05;5;14;1;3.17;0.42;10;6
11.6;0.32;0.55;2.8;0.08;35;67;1;3.32;0.92;10.8;7
9.3;0.39;0.4;2.6;0.07;10;26;1;3.34;0.75;10.2;6
9.3;0.78;0.27;2.8;0.08;24;56;1;3.31;0.67;10.6;6
9.2;0.41;0.5;2.5;0.06;12;25;1;3.34;0.79;13.3;7
8.9;0.4;0.51;2.6;0.05;13;27;1;3.32;0.9;13.4;7
8.7;0.69;0.31;3;0.09;23;81;1;3.48;0.74;11.6;6
6.5;0.39;0.23;8.3;0.05;28;91;1;3.44;0.55;12.1;6
10.7;0.35;0.53;2.6;0.07;5;16;1;3.15;0.65;11;8
7.8;0.52;0.25;1.9;0.08;14;38;1;3.43;0.65;9;6
7.2;0.34;0.32;2.5;0.09;43;113;1;3.32;0.79;11.1;5
10.7;0.35;0.53;2.6;0.07;5;16;1;3.15;0.65;11;8
8.7;0.69;0.31;3;0.09;23;81;1;3.48;0.74;11.6;6
7.8;0.52;0.25;1.9;0.08;14;38;1;3.43;0.65;9;6
10.4;0.44;0.73;6.55;0.07;38;76;1;3.17;0.85;12;7
10.4;0.44;0.73;6.55;0.07;38;76;1;3.17;0.85;12;7
10.5;0.26;0.47;1.9;0.08;6;24;1;3.18;1.04;10.9;7
10.5;0.24;0.42;1.8;0.08;6;22;1;3.21;1.05;10.8;7
10.2;0.49;0.63;2.9;0.07;10;26;1;3.16;0.78;12.5;7
10.4;0.24;0.46;1.8;0.08;6;21;1;3.25;1.02;10.8;7
11.2;0.67;0.55;2.3;0.08;6;13;1;3.17;0.71;9.5;6
10;0.59;0.31;2.2;0.09;26;62;1;3.18;0.63;10.2;6
13.3;0.29;0.75;2.8;0.08;23;43;1;3.04;0.68;11.4;7
12.4;0.42;0.49;4.6;0.07;19;43;1;3.02;0.61;9.5;5
10;0.59;0.31;2.2;0.09;26;62;1;3.18;0.63;10.2;6
10.7;0.4;0.48;2.1;0.13;15;49;1;3.03;0.81;9.7;6
10.5;0.51;0.64;2.4;0.11;6;15;1;3.09;0.66;11.8;7
10.5;0.51;0.64;2.4;0.11;6;15;1;3.09;0.66;11.8;7
8.5;0.66;0.49;6.1;0.12;34;151;1;3.31;1.14;9.3;5
12.5;0.6;0.49;4.3;0.1;5;14;1;3.25;0.74;11.9;6
10.4;0.61;0.49;2.1;0.2;5;16;1;3.16;0.63;8.4;3
10.9;0.21;0.49;2.8;0.09;11;32;1;3.22;0.68;11.7;6
7.3;0.37;0.49;2.5;0.09;39;106;1;3.36;0.78;11;5
9.8;0.25;0.49;2.7;0.09;15;33;1;3.42;0.9;10;6
7.6;0.41;0.49;2;0.09;16;43;1;3.48;0.64;9.1;5
8.2;0.39;0.49;2.3;0.1;47;133;1;3.38;0.99;9.8;5
9.3;0.4;0.49;2.5;0.09;38;142;1;3.22;0.55;9.4;5
9.2;0.43;0.49;2.4;0.09;23;116;1;3.23;0.64;9.5;5
10.4;0.64;0.24;2.8;0.11;29;53;1;3.24;0.67;9.9;5
7.3;0.37;0.49;2.5;0.09;39;106;1;3.36;0.78;11;5
7;0.38;0.49;2.5;0.1;33;85;1;3.39;0.77;11.4;6
8.2;0.42;0.49;2.6;0.08;32;55;1;3.34;0.75;8.7;6
9.9;0.63;0.24;2.4;0.08;6;33;1;3.09;0.57;9.4;5
9.1;0.22;0.24;2.1;0.08;1;28;1;3.41;0.87;10.3;6
11.9;0.38;0.49;2.7;0.1;12;42;1;3.16;0.61;10.3;5
11.9;0.38;0.49;2.7;0.1;12;42;1;3.16;0.61;10.3;5
10.3;0.27;0.24;2.1;0.07;15;33;1;3.22;0.66;12.8;6
10;0.48;0.24;2.7;0.1;13;32;1;3.28;0.56;10;6
9.1;0.22;0.24;2.1;0.08;1;28;1;3.41;0.87;10.3;6
9.9;0.63;0.24;2.4;0.08;6;33;1;3.09;0.57;9.4;5
8.1;0.83;0.24;2.1;0.08;5;13;1;3.37;0.77;10.7;6
12.9;0.35;0.49;5.8;0.07;5;35;1;3.2;0.66;12;7
11.2;0.5;0.74;5.15;0.1;5;17;1;3.22;0.62;11.2;5
9.2;0.59;0.24;3.3;0.1;20;47;1;3.26;0.67;9.6;5
9.5;0.46;0.49;6.3;0.06;5;17;1;3.21;0.73;11;6
9.3;0.72;0.24;2.1;0.07;5;20;1;3.12;0.59;9.9;5
11.2;0.66;0.24;2.5;0.09;16;53;1;3.06;0.72;11;6
14.3;0.31;0.74;1.8;0.08;6;15;1;2.86;0.79;8.4;6
9.1;0.47;0.49;2.6;0.09;38;106;1;3.08;0.59;9.1;5
7.5;0.55;0.24;2;0.08;10;28;1;3.45;0.78;9.5;6
10.6;0.31;0.49;2.5;0.07;6;21;1;3.26;0.86;10.7;6
12.4;0.35;0.49;2.6;0.08;27;69;1;3.12;0.75;10.4;6
9;0.53;0.49;1.9;0.17;6;25;1;3.27;0.61;9.4;6
6.8;0.51;0.01;2.1;0.07;9;25;1;3.33;0.56;9.5;6
9.4;0.43;0.24;2.8;0.09;14;45;1;3.19;0.73;10;6
9.5;0.46;0.24;2.7;0.09;14;44;1;3.12;0.74;10;6
5;1.04;0.24;1.6;0.05;32;96;0.99;3.74;0.62;11.5;5
15.5;0.65;0.49;4.2;0.1;10;23;1;2.92;0.74;11.1;5
15.5;0.65;0.49;4.2;0.1;10;23;1;2.92;0.74;11.1;5
10.9;0.53;0.49;4.6;0.12;10;17;1;3.07;0.56;11.7;6
15.6;0.65;0.49;4.2;0.1;10;23;1;2.92;0.74;11.1;5
10.9;0.53;0.49;4.6;0.12;10;17;1;3.07;0.56;11.7;6
13;0.47;0.49;4.3;0.09;6;47;1;3.3;0.68;12.7;6
12.7;0.6;0.49;2.8;0.08;5;19;1;3.14;0.57;11.4;5
9;0.44;0.49;2.4;0.08;26;121;1;3.23;0.58;9.2;5
9;0.54;0.49;2.9;0.09;41;110;1;3.08;0.61;9.2;5
7.6;0.29;0.49;2.7;0.09;25;60;1;3.31;0.61;10.1;6
13;0.47;0.49;4.3;0.09;6;47;1;3.3;0.68;12.7;6
12.7;0.6;0.49;2.8;0.08;5;19;1;3.14;0.57;11.4;5
8.7;0.7;0.24;2.5;0.23;5;15;1;3.32;0.6;9;6
8.7;0.7;0.24;2.5;0.23;5;15;1;3.32;0.6;9;6
9.8;0.5;0.49;2.6;0.25;5;20;1;3.31;0.79;10.7;6
6.2;0.36;0.24;2.2;0.1;19;42;0.99;3.57;0.57;11.7;6
11.5;0.35;0.49;3.3;0.07;10;37;1;3.32;0.91;11;6
6.2;0.36;0.24;2.2;0.1;19;42;0.99;3.57;0.57;11.7;6
10.2;0.24;0.49;2.4;0.08;10;28;1;3.14;0.61;10.4;5
10.5;0.59;0.49;2.1;0.07;14;47;1;3.3;0.56;9.6;4
10.6;0.34;0.49;3.2;0.08;20;78;1;3.19;0.7;10;6
12.3;0.27;0.49;3.1;0.08;28;46;1;3.2;0.8;10.2;6
9.9;0.5;0.24;2.3;0.1;6;14;1;3.34;0.52;10;4
8.8;0.44;0.49;2.8;0.08;18;111;1;3.3;0.6;9.5;5
8.8;0.47;0.49;2.9;0.09;17;110;1;3.29;0.6;9.8;5
10.6;0.31;0.49;2.2;0.06;18;40;1;3.14;0.51;9.8;6
12.3;0.5;0.49;2.2;0.09;5;14;1;3.19;0.44;9.6;5
12.3;0.5;0.49;2.2;0.09;5;14;1;3.19;0.44;9.6;5
11.7;0.49;0.49;2.2;0.08;5;15;1;3.19;0.43;9.2;5
12;0.28;0.49;1.9;0.07;10;21;1;2.98;0.66;9.9;7
11.8;0.33;0.49;3.4;0.09;54;80;1;3.3;0.76;10.7;7
7.6;0.51;0.24;2.4;0.09;8;38;1;3.47;0.66;9.6;6
11.1;0.31;0.49;2.7;0.09;16;47;1;3.12;1.02;10.6;7
7.3;0.73;0.24;1.9;0.11;18;102;1;3.26;0.59;9.3;5
5;0.42;0.24;2;0.06;19;50;0.99;3.72;0.74;14;8
10.2;0.29;0.49;2.6;0.06;5;13;1;3.05;0.74;10.5;7
9;0.45;0.49;2.6;0.08;21;75;1;3.35;0.57;9.7;5
6.6;0.39;0.49;1.7;0.07;23;149;0.99;3.12;0.5;11.5;6
9;0.45;0.49;2.6;0.08;21;75;1;3.35;0.57;9.7;5
9.9;0.49;0.58;3.5;0.09;9;43;1;3.29;0.58;9;5
7.9;0.72;0.17;2.6;0.1;20;38;1;3.4;0.53;9.5;5
8.9;0.6;0.41;7.9;0.09;30;109;1;3.27;0.57;9.3;5
12.4;0.4;0.51;2;0.06;6;24;1;3.04;0.6;9.3;6
11.9;0.58;0.58;1.9;0.07;5;18;1;3.09;0.63;10;6
8.5;0.59;0.18;2.1;0.08;5;30;1;3.2;0.48;9.8;6
12.7;0.59;0.45;2.3;0.08;11;22;1;3;0.7;9.3;6
8.2;0.92;0.27;2.1;0.09;7;23;1;3.26;0.47;10;4
13.2;0.46;0.52;2.2;0.07;12;35;1;3.1;0.56;9;6
7.7;0.84;0;2.6;0.08;6;14;1;3.3;0.52;9.3;5
13.2;0.46;0.52;2.2;0.07;12;35;1;3.1;0.56;9;6
8.3;0.58;0.13;2.9;0.1;14;63;1;3.17;0.62;9.1;6
8.3;0.6;0.13;2.6;0.09;6;24;1;3.31;0.59;9.2;6
9.4;0.41;0.48;4.6;0.07;10;20;1;3.34;0.79;12.2;7
8.8;0.48;0.41;3.3;0.09;26;52;1;3.31;0.53;10.5;6
10.1;0.65;0.37;5.1;0.11;11;65;1;3.32;0.64;10.4;6
6.3;0.36;0.19;3.2;0.08;15;39;1;3.56;0.52;12.7;6
8.8;0.24;0.54;2.5;0.08;25;57;1;3.39;0.54;9.2;5
13.2;0.38;0.55;2.7;0.08;5;16;1;2.98;0.54;9.4;5
7.5;0.64;0;2.4;0.08;18;29;1;3.32;0.6;10;6
8.2;0.39;0.38;1.5;0.06;10;29;1;3.26;0.74;9.8;5
9.2;0.76;0.18;2.2;0.15;10;103;1;2.87;1.36;10.2;6
9.6;0.6;0.5;2.3;0.08;28;71;1;3.5;0.57;9.7;5
9.6;0.6;0.5;2.3;0.08;28;71;1;3.5;0.57;9.7;5
11.5;0.31;0.51;2.2;0.08;14;28;1;3.03;0.93;9.8;6
11.4;0.46;0.5;2.7;0.12;4;17;1;3.13;0.7;10.2;5
11.3;0.37;0.41;2.3;0.09;6;16;1;3.09;0.8;9.3;5
8.3;0.54;0.24;3.4;0.08;16;112;1;3.27;0.61;9.4;5
8.2;0.56;0.23;3.4;0.08;14;104;1;3.28;0.62;9.4;5
10;0.58;0.22;1.9;0.08;9;32;1;3.13;0.55;9.5;5
7.9;0.51;0.25;2.9;0.08;21;45;1;3.49;0.96;12.1;6
6.8;0.69;0;5.6;0.12;21;58;1;3.46;0.72;10.2;5
6.8;0.69;0;5.6;0.12;21;58;1;3.46;0.72;10.2;5
8.8;0.6;0.29;2.2;0.1;5;15;1;3.36;0.49;9.1;5
8.8;0.6;0.29;2.2;0.1;5;15;1;3.36;0.49;9.1;5
8.7;0.54;0.26;2.5;0.1;7;31;1;3.27;0.6;9.3;6
7.6;0.69;0.23;2.3;0.11;20;84;1;3.21;0.61;9.3;5
8.7;0.54;0.26;2.5;0.1;7;31;1;3.27;0.6;9.3;6
10.4;0.28;0.54;2.7;0.11;5;19;1;3.25;0.63;9.5;5
7.6;0.41;0.14;3;0.09;21;43;1;3.32;0.57;10.5;6
10.1;0.94;0.22;3.4;0.11;11;86;1;3.43;0.64;11.3;4
7.9;0.35;0.21;1.9;0.07;46;102;1;3.27;0.58;9.5;5
8.7;0.84;0;1.4;0.07;24;33;1;3.27;0.55;9.7;5
9.6;0.88;0.28;2.4;0.09;30;147;1;3.24;0.53;9.4;5
9.5;0.89;0.27;2.3;0.08;31;145;1;3.24;0.53;9.4;5
7.7;0.92;0.12;2.2;0.14;7;23;1;3.35;0.65;10.2;7
8.9;0.29;0.35;1.9;0.07;25;57;1;3.18;1.36;10.3;6
9.9;0.54;0.45;2.3;0.07;16;40;1;3.39;0.62;9.4;5
9.5;0.59;0.44;2.3;0.07;21;68;1;3.46;0.63;9.5;5
9.9;0.54;0.45;2.3;0.07;16;40;1;3.39;0.62;9.4;5
9.5;0.59;0.44;2.3;0.07;21;68;1;3.46;0.63;9.5;5
9.9;0.54;0.45;2.3;0.07;16;40;1;3.39;0.62;9.4;5
7.8;0.64;0.1;6;0.12;5;11;1;3.37;0.69;10.1;7
7.3;0.67;0.05;3.6;0.11;6;20;1;3.4;0.63;10.1;5
8.3;0.85;0.01;2.2;0.07;5;14;1;3.32;0.58;11;4
8.7;0.48;0.3;2.8;0.07;10;28;1;3.33;0.67;11.2;7
6.7;0.42;0.27;8.6;0.07;24;148;0.99;3.16;0.57;11.3;6
10.7;0.43;0.39;2.2;0.11;8;32;1;2.89;0.5;9.6;5
9.8;0.88;0.25;2.5;0.1;35;155;1;3.41;0.67;11.2;5
15.9;0.36;0.65;7.5;0.1;22;71;1;2.98;0.84;14.9;5
9.4;0.33;0.59;2.8;0.08;9;30;1;3.12;0.54;12;6
8.6;0.47;0.47;2.4;0.07;7;29;1;3.08;0.46;9.5;5
9.7;0.55;0.17;2.9;0.09;20;53;1;3.14;0.61;9.4;5
10.7;0.43;0.39;2.2;0.11;8;32;1;2.89;0.5;9.6;5
12;0.5;0.59;1.4;0.07;23;42;1;2.92;0.68;10.5;7
7.2;0.52;0.07;1.4;0.07;5;20;1;3.32;0.81;9.6;6
7.1;0.84;0.02;4.4;0.1;5;13;1;3.41;0.57;11;4
7.2;0.52;0.07;1.4;0.07;5;20;1;3.32;0.81;9.6;6
7.5;0.42;0.31;1.6;0.08;15;42;1;3.31;0.64;9;5
7.2;0.57;0.06;1.6;0.08;9;27;1;3.36;0.7;9.6;6
10.1;0.28;0.46;1.8;0.05;5;13;1;3.04;0.79;10.2;6
12.1;0.4;0.52;2;0.09;15;54;1;3.03;0.66;10.2;5
9.4;0.59;0.14;2;0.08;25;48;1;3.14;0.56;9.7;5
8.3;0.49;0.36;1.8;0.22;6;16;1;3.18;0.6;9.5;6
11.3;0.34;0.45;2;0.08;6;15;1;2.94;0.66;9.2;6
10;0.73;0.43;2.3;0.06;15;31;1;3.15;0.57;11;5
11.3;0.34;0.45;2;0.08;6;15;1;2.94;0.66;9.2;6
6.9;0.4;0.24;2.5;0.08;30;45;1;3.26;0.58;10;5
8.2;0.73;0.21;1.7;0.07;5;13;1;3.2;0.52;9.5;5
9.8;1.24;0.34;2;0.08;32;151;1;3.15;0.53;9.5;5
8.2;0.73;0.21;1.7;0.07;5;13;1;3.2;0.52;9.5;5
10.8;0.4;0.41;2.2;0.08;7;17;1;3.08;0.67;9.3;6
9.3;0.41;0.39;2.2;0.06;12;31;1;3.26;0.65;10.2;5
10.8;0.4;0.41;2.2;0.08;7;17;1;3.08;0.67;9.3;6
8.6;0.8;0.11;2.3;0.08;12;31;1;3.4;0.48;9.9;5
8.3;0.78;0.1;2.6;0.08;45;87;1;3.48;0.53;10;5
10.8;0.26;0.45;3.3;0.06;20;49;1;3.13;0.54;9.6;5
13.3;0.43;0.58;1.9;0.07;15;40;1;3.06;0.49;9;5
8;0.45;0.23;2.2;0.09;16;29;1;3.21;0.49;10.2;6
8.5;0.46;0.31;2.25;0.08;32;58;1;3.33;0.54;9.8;5
8.1;0.78;0.23;2.6;0.06;5;15;1;3.37;0.56;11.3;5
9.8;0.98;0.32;2.3;0.08;35;152;1;3.25;0.48;9.4;5
8.1;0.78;0.23;2.6;0.06;5;15;1;3.37;0.56;11.3;5
7.1;0.65;0.18;1.8;0.07;13;40;1;3.44;0.6;9.1;5
9.1;0.64;0.23;3.1;0.1;13;38;1;3.28;0.59;9.7;5
7.7;0.66;0.04;1.6;0.04;4;9;1;3.4;0.47;9.4;5
8.1;0.38;0.48;1.8;0.16;5;17;1;3.3;1.05;9.4;5
7.4;1.19;0;4.25;0.1;5;14;1;3.63;0.54;10.7;3
9.2;0.92;0.24;2.6;0.09;12;93;1;3.48;0.54;9.8;5
8.6;0.49;0.51;2;0.42;16;62;1;3.03;1.17;9;5
9;0.48;0.32;2.8;0.08;21;122;1;3.32;0.62;9.4;5
9;0.47;0.31;2.7;0.08;24;125;1;3.31;0.61;9.4;5
5.1;0.47;0.02;1.3;0.03;18;44;0.99;3.9;0.62;12.8;6
7;0.65;0.02;2.1;0.07;8;25;1;3.47;0.67;9.5;6
7;0.65;0.02;2.1;0.07;8;25;1;3.47;0.67;9.5;6
9.4;0.62;0.28;3.2;0.09;18;72;1;3.31;0.53;9.7;5
11.8;0.38;0.55;2.1;0.07;5;19;1;3.11;0.62;10.8;6
10.6;1.02;0.43;2.9;0.08;26;88;1;3.08;0.57;10.1;6
7;0.65;0.02;2.1;0.07;8;25;1;3.47;0.67;9.5;6
7;0.64;0.02;2.1;0.07;9;23;1;3.47;0.67;9.4;6
7.5;0.38;0.48;2.6;0.07;22;84;1;3.32;0.7;9.6;4
9.1;0.77;0.04;1.6;0.08;4;14;1;3.29;0.54;9.7;4
8.4;1.04;0.15;6;0.07;11;54;1;3.37;0.49;9.9;5
7;0.78;0.08;2;0.09;10;19;1;3.4;0.47;10;5
7.4;0.49;0.19;3;0.08;16;37;1;3.37;0.51;10.5;5
